Row Labels,Sum of ordered_item_quantity,Sum of discounts
1-Jul,0,0
(blank),0,0
2-Jul,0,0
(blank),0,0
3-Jul,0,0
(blank),0,0
4-Jul,0,0
(blank),0,0
5-Jul,0,0
(blank),0,0
6-Jul,0,0
(blank),0,0
7-Jul,0,0
(blank),0,0
8-Jul,0,0
(blank),0,0
9-Jul,0,0
(blank),0,0
10-Jul,0,0
(blank),0,0
11-Jul,0,0
(blank),0,0
12-Jul,0,0
(blank),0,0
13-Jul,0,0
(blank),0,0
14-Jul,0,0
(blank),0,0
15-Jul,0,0
(blank),0,0
16-Jul,0,0
(blank),0,0
17-Jul,0,0
(blank),0,0
18-Jul,15,-296.13
fulfilled,14,-284.14
unfulfilled,1,-11.99
19-Jul,21,-545.4
fulfilled,21,-545.4
20-Jul,10,-60.79
fulfilled,10,-60.79
21-Jul,18,-327.33
fulfilled,17,-327.33
unfulfilled,1,0
22-Jul,9,-105.94
fulfilled,9,-105.94
23-Jul,21,-266.96
fulfilled,19,-266.96
partial,2,0
24-Jul,14,-416.25
fulfilled,14,-416.25
25-Jul,10,-171.71
fulfilled,10,-171.71
26-Jul,38,-833.59
fulfilled,14,-128.74
unfulfilled,24,-704.85
27-Jul,2,-72.78
fulfilled,2,-72.78
28-Jul,5,-137.97
fulfilled,5,-137.97
29-Jul,27,-746.84
fulfilled,26,-746.84
unfulfilled,1,0
30-Jul,12,-529.94
fulfilled,9,-249.95
partial,3,-279.99
31-Jul,7,-48.75
fulfilled,4,-48.75
unfulfilled,3,0
1-Aug,26,0
fulfilled,26,0
2-Aug,3,-13.99
fulfilled,2,-13.99
unfulfilled,1,0
3-Aug,13,-50.98
fulfilled,13,-50.98
4-Aug,9,-148.98
fulfilled,6,0
partial,3,-148.98
5-Aug,6,0
fulfilled,4,0
unfulfilled,2,0
6-Aug,8,0
fulfilled,8,0
7-Aug,7,-356.99
fulfilled,7,-356.99
8-Aug,13,-116.23
fulfilled,9,-116.23
partial,4,0
9-Aug,0,0
(blank),0,0
10-Aug,5,0
fulfilled,5,0
11-Aug,2,-97.5
fulfilled,2,-97.5
12-Aug,5,-336
fulfilled,2,0
unfulfilled,3,-336
13-Aug,7,0
fulfilled,7,0
14-Aug,2,0
fulfilled,2,0
15-Aug,5,-134.96
fulfilled,5,-134.96
unfulfilled,0,0
16-Aug,12,-93.94
fulfilled,12,-93.94
17-Aug,2,0
fulfilled,2,0
18-Aug,5,0
fulfilled,4,0
unfulfilled,1,0
19-Aug,0,0
unfulfilled,0,0
20-Aug,13,0
fulfilled,6,0
unfulfilled,7,0
21-Aug,1,0
fulfilled,1,0
22-Aug,9,-185.98
fulfilled,6,-185.98
unfulfilled,3,0
23-Aug,12,0
fulfilled,8,0
unfulfilled,4,0
24-Aug,17,0
fulfilled,11,0
unfulfilled,6,0
25-Aug,26,-211.35
fulfilled,11,0
unfulfilled,15,-211.35
26-Aug,7,-189.96
fulfilled,6,-189.96
unfulfilled,1,0
27-Aug,14,0
fulfilled,5,0
unfulfilled,9,0
28-Aug,0,0
(blank),0,0
29-Aug,32,-2651.14
fulfilled,6,-131.02
partial,26,-2520.12
30-Aug,16,0
fulfilled,1,0
unfulfilled,15,0
31-Aug,36,-334.64
unfulfilled,36,-334.64
1-Sep,13,-162.15
unfulfilled,13,-162.15
2-Sep,46,-446.68
unfulfilled,46,-446.68
3-Sep,13,-80.98
unfulfilled,13,-80.98
Grand Total,594,-10172.83
