Age Group,Gender,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration (Seconds),Transactions,Revenue,Ecommerce Conversion Rate
18-24,female,364,323,605,1.32,9.99,220.9,3,1027.16,0.5
18-24,male,199,176,316,3.16,7.53,165.7,2,718.7,0.63
25-34,female,2219,1914,3389,1.56,9.13,187.5,21,12777.24,0.62
25-34,male,1244,1087,1933,2.79,9.68,236.7,13,4663.73,0.67
35-44,female,1059,890,1745,2.29,8.91,172.1,14,3868.08,0.8
35-44,male,795,673,1270,5.12,8.28,156.6,9,4502.39,0.71
45-54,female,484,427,726,2.89,8.4,150.8,10,2555.72,1.38
45-54,male,361,306,531,3.2,7.71,115.1,2,314.29,0.38
55-64,female,375,344,574,4.01,6.64,89.6,3,1022.69,0.52
55-64,male,220,190,313,3.51,7.45,117.6,3,1045.45,0.96
65+,female,301,271,506,2.37,5.8,101.8,5,1189.62,0.99
65+,male,159,136,226,4.87,5.49,86.3,1,273.69,0.44
